Run,Execution Time (ms)
1,1662.43314743042
2,1825.5465030670166
3,1766.8571472167969
4,1667.100191116333
5,1785.9842777252197
6,1748.840570449829
7,1706.575870513916
8,1673.1359958648682
9,1780.4865837097168
10,1682.7123165130615
Average,1729.9672603607178
