Run,Execution Time (ms)
1,445.30200958251953
2,438.71045112609863
3,533.9925289154053
4,683.2365989685059
5,643.7315940856934
6,728.8098335266113
7,731.3082218170166
8,606.8868637084961
9,494.2891597747803
10,603.5454273223877
Average,590.9812688827515
