Run,Execution Time (ms)
1,2800.527334213257
2,2693.1381225585938
3,2802.3335933685303
4,2811.485528945923
5,2547.5118160247803
6,2759.1195106506348
7,2828.3438682556152
8,2806.55574798584
9,2870.4020977020264
10,2748.3649253845215
Average,2766.778254508972
