Run,Execution Time (ms)
1,751.727819442749
2,636.1286640167236
3,584.8863124847412
4,549.6034622192383
5,544.5775985717773
6,511.6994380950928
7,547.3117828369141
8,572.3259449005127
9,576.568603515625
10,507.84969329833984
Average,578.2679319381714
