Run,Execution Time (ms)
1,189.44597244262695
2,175.5518913269043
3,193.4812068939209
4,237.82944679260254
5,305.6211471557617
6,354.5722961425781
7,254.34637069702148
8,383.78381729125977
9,254.66084480285645
10,235.0606918334961
Average,258.43536853790283
