Run,Execution Time (ms)
1,933.1879615783691
2,892.6346302032471
3,869.0452575683594
4,814.4533634185791
5,869.2734241485596
6,862.5459671020508
7,1150.0585079193115
8,1548.4962463378906
9,900.808572769165
10,886.4500522613525
Average,972.6953983306885
