Run,Execution Time (ms)
1,27882.898569107056
2,31227.463960647583
3,29261.555671691895
4,26938.92240524292
5,27666.966915130615
6,25904.18004989624
7,29667.389154434204
8,28116.198301315308
9,27741.854667663574
10,26758.64863395691
Average,28116.60783290863
