Run,Execution Time (ms)
1,386.3651752471924
2,305.255651473999
3,340.7576084136963
4,323.9259719848633
5,393.543004989624
6,612.2944355010986
7,413.5310649871826
8,374.004602432251
9,317.16203689575195
10,310.83226203918457
Average,377.7671813964844
