Run,Execution Time (ms)
1,27730.971336364746
2,22564.929008483887
3,23042.299032211304
4,26844.001293182373
5,24676.552772521973
6,29295.504808425903
7,29739.32123184204
8,31574.90038871765
9,30493.798971176147
10,19538.041830062866
Average,26550.03206729889
