Run,Execution Time (ms)
1,1193.6206817626953
2,1261.7807388305664
3,1188.1825923919678
4,1164.7210121154785
5,1196.9664096832275
6,1117.1207427978516
7,1112.7159595489502
8,1197.5970268249512
9,1114.330768585205
10,1171.7555522918701
Average,1171.8791484832764
